XML_ID|AMOUNT
1561455|38
6934995|35
6487437|84
11563214|265
14488002|47
14468527|41
360868|126
6109788|360
6237532|527
9686736|15
9596380|26
7089631|186
10455815|22
10407293|13
11081869|3
4226957|49
10392494|8
10699589|33
10936747|90
143242|67
3901678|902
5317728|77
14318093|188
249652|63
4317819|9
7012601|187
12415154|62
10547499|3
4872701|374
7009358|591
9746866|34
10434711|133
7696705|4025
10140650|20
12471916|52
4400043|144
11997569|116
13920592|9
1547906|54
2267426|261
1104373|196
238989|85
2122536|120
8141620|129
10257253|37
10477315|262
14335812|5
6132617|20
10508067|10
14395541|7
14351864|148
144977|1918
250167|65
241930|30
2360656|12
4429624|1410
5877788|83
9589917|18
6790502|65
9502919|48
10015308|285
10498546|90
247166|58
146176|195
6741652|525
10767842|57
10732164|142
12764858|24
12283604|176
248521|200
697866|35
5271910|202
4561334|1719
7140121|390
9751530|10
235939|53
2133957|6719
2318824|204
5963643|109
12436479|24
13066274|280
13066317|174
12530322|41
147074|205
10471317|431
142679|144
244620|67
2671308|11
2931896|119
2956271|11
3230607|3
4732227|1614
5121880|60
6248220|1387
9769008|152
12807156|75
3539863|49
6911457|61
7440975|212
8432369|75
8356621|25
9985698|422
10294288|15
10712432|16
13691205|78
250768|236
146543|45
4208958|286
4819221|49
9917292|4
11746851|121
9300698|321
6625803|93
8957995|502
9795847|71
10692093|5
247145|189
3986250|58
4400060|160
6543352|344
5451486|56
6608755|5196
9766149|14
13546893|16
13240981|31
237668|23
236988|189
4577396|10
7346546|12
1016336|80
2895134|482
5234979|542
4919091|198
9906488|359
9676570|31
9738586|45
1550939|119
4919885|7
10032622|32
10221611|138
10682648|21
147436|52
146821|285
395398|51
4824158|38
8123928|120
9762278|159
9737447|68
13678348|34
241543|60
4512239|109
12103959|255
11371241|73
1906723|38
5454052|48
14342903|90
380371|73
1794166|105
9713942|81
12230832|36
147245|74
450501|197
10410994|193
1547351|39
2930598|1929
5057128|471
9812714|11727
9954553|174
10010161|65
13658559|365
234642|77
145926|70
853119|17
9410228|60
7302500|29
7677796|39
10115270|37
14416676|60
144995|573
392746|179
142697|44
2826350|15
4999025|57
9690325|55
12440081|70
142664|715
5137888|280
5751636|81
10011985|842
11599487|19
11746828|422
13678323|105
240061|799
4181669|700
4397052|29
4723519|1823
5640688|56
9718899|87
9751237|180
9795512|53
246601|10
3253398|576
3104414|23
4397696|36
5740294|665
10726809|4
10687770|48
12860438|518
12469915|169
14394935|20
361169|13
146150|272
2317601|11
5269670|18
1111756|23
373757|167
5031062|494
6243283|599
10013189|55
10650337|12
10630196|83
11728690|452
13692008|475
6115553|1043
8222914|871
9792213|67
448492|163
2681722|72
6132601|55
9800573|21
9518012|24
11985380|67
146854|507
360860|20
247327|109
358701|393
990432|323
6179007|101
11028991|55
253001|27
5241703|36
7246865|3646
7865705|11
9745790|5
9683231|26
8716523|57
10116969|51
143314|27
379417|1093
3116400|16
7619623|1
10115271|66
10536891|37
12843239|195
14351748|59
5628423|15
10332955|5
7431500|5
11059072|38
1083381|56
1107801|36
1748628|114
147537|92
895008|12
4192267|1805
4848476|38
4540398|121
12328694|1250
721686|132
252874|23
4430727|24
5391393|22
9721722|98
12537258|50
146345|25
1514809|545
1555779|24
240479|88
2127475|20
2288180|395
6839280|19
6911459|144
9759164|12
3493484|9
5031712|584
5152065|10
5640692|312
5409932|29
2689131|120
5067995|653
7111410|14
13433400|27
12471917|79
14343242|7
14343884|44
13884923|200
144285|1132
3948594|10
10630203|140
243460|875
3238030|69
8811619|58
9679063|1746
10033219|25
9739067|222
8049675|313
10198842|20
13547638|212
10372335|33
13261849|359
12340542|39
1311716|52
464249|13
250516|52
4038751|40
3116402|27
2134045|993
4509310|10
5919675|15
11833748|7
10428664|73
11943923|341
13421028|55
3884278|257
5108787|114
4903347|817
247714|9
1436797|303
232539|32
246252|15
6171385|68
7886431|6
12585778|15
11838324|26
10390457|7
233756|218
1747543|89
243329|1070
3601381|66
10698528|13
11583776|470
232456|97
815593|964
4557457|47
9679588|40
8011145|11
10187573|58
14119659|18
1366542|42
1647666|19
243761|162
248609|776
141858|595
235445|130
3079839|77
7437906|698
10726791|24
10818472|27
10434775|1125
12912033|44
4076783|678
10762603|6
10694231|25
14008323|102
145285|102
250926|737
449049|188
141644|179
3307194|44
5036964|42
11725285|90
6384561|1644
8960668|86
9809193|10
10190209|4
10230398|327
1213682|5500
251252|136
1041166|11
4006228|1193
6752626|575
144706|186
145244|359
805560|358
10603987|361
10396797|14
12268881|199
14288535|308
14443658|5
14348390|12
1719110|7
146562|48
